"BuveinesTipas"	"Buveines pavadinimas"	"BudRusys (RusiesTipiskumas=0)"	"TipRusys (RusiesTipiskumas=1)"	"BudNeMedzRusys (RusiesTipiskumas=0 AND AugalijosTipas<>Medžiai ir krūmai)"	"TipNeMedzRusys (RusiesTipiskumas=1  AND AugalijosTipas<>Medžiai ir krūmai)"	"BudMedzRusys (RusiesTipiskumas=0  AND AugalijosTipas=Medžiai ir krūmai)"	"BudZolRusys (RusiesTipiskumas=0 AND AugalijosTipas=Žolės ir krūmokšniai)"	"TipZolRusys (RusiesTipiskumas=1 AND AugalijosTipas=Žolės ir krūmokšniai)"
"91D0"	"*Pelkiniai miškai"	"-"	"-"	3	2	"-"	"-"	"-"
"91E0"	"*Aliuviniai miškai"	"-"	"-"	6	2	"-"	"-"	"-"
"91F0"	"Paupių guobynai"	"-"	3	3	"-"	2	"-"	"-"
"91T0"	"Kerpiniai pušynai"	"-"	"-"	"-"	"-"	"-"	3	2
1110	"Smėlio seklumos"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
1130	"Upių žiotys"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
1150	"*Lagūnos"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
1170	"Rifai"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
2110	"Užuomazginės pustomos kopos"	"-"	2	"-"	"-"	"-"	"-"	"-"
2120	"Baltosios kopos"	"-"	4	"-"	"-"	"-"	"-"	"-"
2130	"Pilkosios kopos"	"-"	7	"-"	"-"	"-"	"-"	"-"
2140	"*Kopų varnauogynai"	"-"	4	"-"	"-"	"-"	"-"	"-"
2170	"Kopų gluosnynai"	"-"	5	"-"	"-"	"-"	"-"	"-"
2180	"Medžiais apaugusios pajūrio kopos"	"-"	"-"	7	3	"-"	"-"	"-"
2190	"Drėgnos tarpkopės"	"-"	2	"-"	"-"	"-"	"-"	"-"
2320	"Pajūrio smėlynų tyruliai"	"-"	2	"-"	"-"	"-"	"-"	"-"
2330	"Nesusivėrusios žemyninės smiltpievės"	"-"	3	"-"	"-"	"-"	"-"	"-"
3130	"Mažai mineralizuotiežerai su būdmainių augalų bendrijomis"	"-"	1	"-"	"-"	"-"	"-"	"-"
3140	"Ežerai su menturdumblių bendrijomis"	"-"	2	"-"	"-"	"-"	"-"	"-"
3150	"Natūralūs eutrofiniai ežerai"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
3160	"Natūralūs distrofiniai ežerai"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
3190	"Gipso karsto ežerai"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
3260	"Upių sraunumos su kurklių bendrijomis"	"-"	2	"-"	"-"	"-"	"-"	"-"
3270	"Dumblingos upių pakrantės"	"-"	2	"-"	"-"	"-"	"-"	"-"
4030	"Viržynai"	"-"	2	"-"	"-"	"-"	"-"	"-"
5130	"Kadagynai"	3	2	"-"	"-"	"-"	"-"	"-"
6120	"*Karbonatinių smėlynų pievos"	2	2	"-"	"-"	"-"	"-"	"-"
6210	"Stepinės pievos (*svarbios gegužraibinių augalų buveinės)"	4	4	"-"	"-"	"-"	"-"	"-"
6230	"*Rūšių turtingi briedgaurynai"	4	4	"-"	"-"	"-"	"-"	"-"
6270	"*Rūšių gausios ganyklos ir ganomos pievos"	4	4	"-"	"-"	"-"	"-"	"-"
6410	"Melvenynai"	3	3	"-"	"-"	"-"	"-"	"-"
6430	"Eutrofiniai aukštieji žolynai"	4	2	"-"	"-"	"-"	"-"	"-"
6450	"Aliuvinės pievos"	3	3	"-"	"-"	"-"	"-"	"-"
6510	"Šienaujamos mezofitų pievos"	4	4	"-"	"-"	"-"	"-"	"-"
6530	"*Miškapievės"	"-"	"-"	4	2	"-"	"-"	"-"
7110	"*Aktyvios aukštapelkės"	"-"	5	"-"	"-"	"-"	"-"	"-"
7120	"Degradavusios aukštapelkės"	"-"	"-"	2	2	"-"	"-"	"-"
7140	"Tarpinės pelkės ir liūnai"	3	2	"-"	"-"	"-"	"-"	"-"
7150	"Plikų durpių saidrynai"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
7160	"Nekalkingi šaltiniai ir šaltiniuotos pelkės"	2	2	"-"	"-"	"-"	"-"	"-"
7210	"*Žemapelkės su šakotąja ratainyte"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
7220	"*Šaltiniai su besiformuojančiais tufais"	1	"-"	"-"	"-"	"-"	"-"	"-"
7230	"*Plačialapių ir mišrūs miškai"	2	2	"-"	"-"	"-"	"-"	"-"
8210	"Karbonatinių uolienų atodangos"	"-"	1	"-"	"-"	"-"	"-"	"-"
8220	"Silikatinių uolienų atodangos"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
8310	"Olos"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
9010	"*Vakarų taiga"	4	1	"-"	"-"	"-"	"-"	"-"
9020	"*Plačialapių ir mišrūs miškai"	"-"	"-"	8	2	"-"	"-"	"-"
9050	"Žolių turtingi eglynai"	"-"	"-"	5	3	"-"	"-"	"-"
9060	"Spygliuočių miškai ant ozų"	"-"	"-"	5	3	"-"	"-"	"-"
9070	"Medžiais apaugusios ganyklos"	"-"	"-"	5	3	"-"	"-"	"-"
9080	"*Pelkėti lapuočių miškai"	"-"	"-"	5	3	"-"	"-"	"-"
9160	"Skroblynai"	"-"	"-"	6	2	"-"	"-"	"-"
9180	"*Griovų ir šlaitų miškai"	"-"	"-"	6	2	"-"	"-"	"-"
9190	"Sausieji ąžuolynai"	"-"	"-"	3	2	"-"	"-"	"-"
